NAICS_DESC,DATE,REVENUE,anonimized_name
Commercial Banking,10/25/21,176,Jason Brown INC
Commercial Banking,10/26/21,241,Jason Brown INC
Commercial Banking,10/27/21,228,Jason Brown INC
Commercial Banking,10/28/21,114,Jason Brown INC
Commercial Banking,10/29/21,187,Jason Brown INC
Commercial Banking,11/2/21,142,Jason Brown INC
Commercial Banking,11/3/21,144,Jason Brown INC
Commercial Banking,11/4/21,141,Jason Brown INC
Commercial Banking,11/5/21,96,Jason Brown INC
Commercial Banking,11/7/21,27,Jason Brown INC
Commercial Banking,11/8/21,148,Jason Brown INC
Commercial Banking,11/9/21,154,Jason Brown INC
Commercial Banking,11/10/21,142,Jason Brown INC
Commercial Banking,11/12/21,204,Jason Brown INC
Commercial Banking,11/15/21,223,Jason Brown INC
Commercial Banking,11/16/21,199,Jason Brown INC
Commercial Banking,11/17/21,190,Jason Brown INC
Commercial Banking,11/18/21,208,Jason Brown INC
Commercial Banking,11/19/21,86,Jason Brown INC
Commercial Banking,11/22/21,145,Jason Brown INC
Commercial Banking,11/23/21,204,Jason Brown INC
Commercial Banking,11/24/21,97,Jason Brown INC
Commercial Banking,11/28/21,17,Jason Brown INC
Commercial Banking,11/29/21,135,Jason Brown INC
Commercial Banking,11/30/21,270,Jason Brown INC
Commercial Banking,12/1/21,385,Jason Brown INC
Commercial Banking,12/2/21,185,Jason Brown INC
Commercial Banking,12/3/21,141,Jason Brown INC
Commercial Banking,12/6/21,189,Jason Brown INC
Commercial Banking,12/7/21,57,Jason Brown INC
Commercial Banking,12/8/21,57,Jason Brown INC
Commercial Banking,12/9/21,54,Jason Brown INC
Commercial Banking,12/10/21,73,Jason Brown INC
Commercial Banking,12/13/21,65,Jason Brown INC
Commercial Banking,12/14/21,348,Jason Brown INC
Commercial Banking,12/15/21,91,Jason Brown INC
Commercial Banking,12/16/21,382,Jason Brown INC
Commercial Banking,12/17/21,226,Jason Brown INC
Commercial Banking,12/20/21,128,Jason Brown INC
Commercial Banking,12/21/21,352,Jason Brown INC
Commercial Banking,12/22/21,208,Jason Brown INC
Commercial Banking,12/23/21,323,Jason Brown INC
Commercial Banking,12/24/21,106,Jason Brown INC
Commercial Banking,12/27/21,290,Jason Brown INC
Commercial Banking,12/28/21,123,Jason Brown INC
Commercial Banking,12/29/21,670,Jason Brown INC
Commercial Banking,12/30/21,109,Jason Brown INC
Commercial Banking,12/31/21,84,Jason Brown INC
Commercial Banking,1/3/22,87,Jason Brown INC
Commercial Banking,1/4/22,95,Jason Brown INC
Commercial Banking,1/5/22,370,Jason Brown INC
Commercial Banking,1/6/22,135,Jason Brown INC
Commercial Banking,1/7/22,64,Jason Brown INC
Commercial Banking,1/10/22,504,Jason Brown INC
Commercial Banking,1/11/22,494,Jason Brown INC
Commercial Banking,1/12/22,498,Jason Brown INC
Commercial Banking,1/13/22,838,Jason Brown INC
Commercial Banking,1/14/22,402,Jason Brown INC
Commercial Banking,1/18/22,291,Jason Brown INC
Commercial Banking,1/19/22,243,Jason Brown INC
Commercial Banking,1/20/22,287,Jason Brown INC
Commercial Banking,1/21/22,480,Jason Brown INC
Commercial Banking,1/24/22,680,Jason Brown INC
Commercial Banking,1/25/22,1112,Jason Brown INC
Commercial Banking,1/26/22,923,Jason Brown INC
Commercial Banking,1/27/22,555,Jason Brown INC
Commercial Banking,1/28/22,536,Jason Brown INC
Commercial Banking,1/31/22,588,Jason Brown INC
Commercial Banking,2/1/22,1056,Jason Brown INC
Commercial Banking,2/2/22,595,Jason Brown INC
Commercial Banking,2/3/22,766,Jason Brown INC
Commercial Banking,2/4/22,423,Jason Brown INC
Commercial Banking,2/7/22,336,Jason Brown INC
Commercial Banking,2/8/22,428,Jason Brown INC
Commercial Banking,2/9/22,531,Jason Brown INC
Commercial Banking,2/10/22,495,Jason Brown INC
Commercial Banking,2/11/22,670,Jason Brown INC
Commercial Banking,2/14/22,564,Jason Brown INC
Commercial Banking,2/15/22,978,Jason Brown INC
Commercial Banking,2/16/22,1171,Jason Brown INC
Commercial Banking,2/17/22,1063,Jason Brown INC
Commercial Banking,2/18/22,1747,Jason Brown INC
Commercial Banking,2/22/22,1011,Jason Brown INC
Commercial Banking,2/23/22,1004,Jason Brown INC
Commercial Banking,2/24/22,1151,Jason Brown INC
Commercial Banking,2/25/22,1032,Jason Brown INC
Commercial Banking,2/28/22,924,Jason Brown INC
Commercial Banking,3/1/22,923,Jason Brown INC
Commercial Banking,3/2/22,801,Jason Brown INC
Commercial Banking,3/3/22,589,Jason Brown INC
Commercial Banking,3/4/22,1152,Jason Brown INC
Commercial Banking,3/7/22,755,Jason Brown INC
Commercial Banking,3/8/22,818,Jason Brown INC
Commercial Banking,3/9/22,1114,Jason Brown INC
Commercial Banking,3/10/22,467,Jason Brown INC
Commercial Banking,3/11/22,392,Jason Brown INC
Commercial Banking,3/14/22,922,Jason Brown INC
Commercial Banking,3/15/22,432,Jason Brown INC
Commercial Banking,3/16/22,764,Jason Brown INC
Commercial Banking,3/17/22,979,Jason Brown INC
Commercial Banking,3/18/22,1072,Jason Brown INC
Commercial Banking,3/21/22,833,Jason Brown INC
Commercial Banking,3/22/22,834,Jason Brown INC
Commercial Banking,3/23/22,821,Jason Brown INC
Commercial Banking,3/24/22,942,Jason Brown INC
Commercial Banking,3/25/22,689,Jason Brown INC
Commercial Banking,3/28/22,833,Jason Brown INC
Commercial Banking,3/29/22,812,Jason Brown INC
Commercial Banking,3/30/22,936,Jason Brown INC
Commercial Banking,3/31/22,1074,Jason Brown INC
Commercial Banking,4/1/22,756,Jason Brown INC
Commercial Banking,4/4/22,792,Jason Brown INC
Commercial Banking,4/5/22,1444,Jason Brown INC
Commercial Banking,4/6/22,1091,Jason Brown INC
Commercial Banking,4/7/22,1390,Jason Brown INC
Commercial Banking,4/8/22,955,Jason Brown INC
Commercial Banking,4/11/22,1150,Jason Brown INC
Commercial Banking,4/12/22,922,Jason Brown INC
Commercial Banking,4/13/22,1124,Jason Brown INC
Commercial Banking,4/14/22,1035,Jason Brown INC
Commercial Banking,4/15/22,899,Jason Brown INC
Commercial Banking,4/18/22,795,Jason Brown INC
Commercial Banking,4/19/22,1244,Jason Brown INC
Commercial Banking,4/20/22,990,Jason Brown INC
Commercial Banking,4/21/22,905,Jason Brown INC
Commercial Banking,4/22/22,940,Jason Brown INC
Commercial Banking,4/25/22,778,Jason Brown INC
Commercial Banking,4/26/22,1632,Jason Brown INC
Commercial Banking,4/27/22,1670,Jason Brown INC
Commercial Banking,4/28/22,1358,Jason Brown INC
Commercial Banking,4/29/22,1093,Jason Brown INC
Commercial Banking,5/2/22,1052,Jason Brown INC
Commercial Banking,5/3/22,1679,Jason Brown INC
Commercial Banking,5/4/22,893,Jason Brown INC
Commercial Banking,5/5/22,944,Jason Brown INC
Commercial Banking,5/6/22,1139,Jason Brown INC
Commercial Banking,5/9/22,799,Jason Brown INC
Commercial Banking,5/10/22,818,Jason Brown INC
Commercial Banking,5/11/22,1054,Jason Brown INC
Commercial Banking,5/12/22,83,Jason Brown INC
Commercial Banking,5/13/22,1385,Jason Brown INC
Commercial Banking,5/16/22,932,Jason Brown INC
Commercial Banking,5/17/22,1249,Jason Brown INC
Commercial Banking,5/18/22,864,Jason Brown INC
Commercial Banking,5/19/22,1031,Jason Brown INC
Commercial Banking,5/20/22,779,Jason Brown INC
Commercial Banking,5/23/22,876,Jason Brown INC
Commercial Banking,5/24/22,987,Jason Brown INC
Commercial Banking,5/25/22,940,Jason Brown INC
Commercial Banking,5/26/22,980,Jason Brown INC
Commercial Banking,5/27/22,1114,Jason Brown INC
Commercial Banking,5/31/22,1282,Jason Brown INC
Commercial Banking,6/1/22,54,Jason Brown INC
Commercial Banking,6/2/22,795,Jason Brown INC
Commercial Banking,6/3/22,847,Jason Brown INC
Commercial Banking,6/6/22,39,Jason Brown INC
Commercial Banking,6/7/22,1276,Jason Brown INC
Commercial Banking,6/8/22,872,Jason Brown INC
Commercial Banking,6/9/22,1023,Jason Brown INC
Commercial Banking,6/10/22,796,Jason Brown INC
Commercial Banking,6/13/22,1147,Jason Brown INC
Commercial Banking,6/14/22,96,Jason Brown INC
Commercial Banking,6/15/22,89,Jason Brown INC
Commercial Banking,6/16/22,34,Jason Brown INC
Commercial Banking,6/17/22,1045,Jason Brown INC
Commercial Banking,6/21/22,17,Jason Brown INC
Commercial Banking,6/22/22,839,Jason Brown INC
Commercial Banking,6/23/22,545,Jason Brown INC
Commercial Banking,6/24/22,34,Jason Brown INC
Commercial Banking,6/27/22,17,Jason Brown INC
Commercial Banking,6/28/22,774,Jason Brown INC
Commercial Banking,6/29/22,1011,Jason Brown INC
Commercial Banking,6/30/22,127,Jason Brown INC
Direct Property and Casualty I,3/5/20,1228,Jacob Stein INC
Direct Property and Casualty I,3/6/20,6149,Jacob Stein INC
Direct Property and Casualty I,3/9/20,10106,Jacob Stein INC
Direct Property and Casualty I,3/10/20,10567,Jacob Stein INC
Direct Property and Casualty I,3/11/20,6833,Jacob Stein INC
Direct Property and Casualty I,3/12/20,3878,Jacob Stein INC
Direct Property and Casualty I,3/13/20,5693,Jacob Stein INC
Direct Property and Casualty I,3/16/20,4942,Jacob Stein INC
Direct Property and Casualty I,3/17/20,6106,Jacob Stein INC
Direct Property and Casualty I,3/18/20,4443,Jacob Stein INC
Direct Property and Casualty I,3/19/20,8340,Jacob Stein INC
Direct Property and Casualty I,3/20/20,35570,Jacob Stein INC
Direct Property and Casualty I,3/23/20,4838,Jacob Stein INC
Direct Property and Casualty I,3/24/20,6718,Jacob Stein INC
Direct Property and Casualty I,3/25/20,3492,Jacob Stein INC
Direct Property and Casualty I,3/26/20,3958,Jacob Stein INC
Direct Property and Casualty I,3/27/20,4115,Jacob Stein INC
Direct Property and Casualty I,3/30/20,3582,Jacob Stein INC
Direct Property and Casualty I,3/31/20,3950,Jacob Stein INC
Direct Property and Casualty I,4/1/20,3820,Jacob Stein INC
Direct Property and Casualty I,4/2/20,2953,Jacob Stein INC
Direct Property and Casualty I,4/3/20,7227,Jacob Stein INC
Direct Property and Casualty I,4/6/20,5308,Jacob Stein INC
Direct Property and Casualty I,4/7/20,7876,Jacob Stein INC
Direct Property and Casualty I,4/8/20,6507,Jacob Stein INC
Direct Property and Casualty I,4/9/20,7082,Jacob Stein INC
Direct Property and Casualty I,4/10/20,2864,Jacob Stein INC
Direct Property and Casualty I,4/13/20,3457,Jacob Stein INC
Direct Property and Casualty I,4/14/20,5547,Jacob Stein INC
Direct Property and Casualty I,4/15/20,5160,Jacob Stein INC
Direct Property and Casualty I,4/16/20,4318,Jacob Stein INC
Direct Property and Casualty I,4/17/20,3464,Jacob Stein INC
Direct Property and Casualty I,4/20/20,6831,Jacob Stein INC
Direct Property and Casualty I,4/21/20,5991,Jacob Stein INC
Direct Property and Casualty I,4/22/20,5826,Jacob Stein INC
Direct Property and Casualty I,4/23/20,6380,Jacob Stein INC
Direct Property and Casualty I,4/24/20,9731,Jacob Stein INC
Direct Property and Casualty I,4/27/20,5561,Jacob Stein INC
Direct Property and Casualty I,4/28/20,9101,Jacob Stein INC
Direct Property and Casualty I,4/29/20,10115,Jacob Stein INC
Direct Property and Casualty I,4/30/20,6215,Jacob Stein INC
Direct Property and Casualty I,5/1/20,5931,Jacob Stein INC
Direct Property and Casualty I,5/4/20,5917,Jacob Stein INC
Direct Property and Casualty I,5/5/20,6051,Jacob Stein INC
Direct Property and Casualty I,5/6/20,4897,Jacob Stein INC
Direct Property and Casualty I,5/7/20,4419,Jacob Stein INC
Direct Property and Casualty I,5/8/20,3545,Jacob Stein INC
Direct Property and Casualty I,5/11/20,4656,Jacob Stein INC
Direct Property and Casualty I,5/12/20,7048,Jacob Stein INC
Direct Property and Casualty I,5/13/20,5311,Jacob Stein INC
Direct Property and Casualty I,5/14/20,6746,Jacob Stein INC
Direct Property and Casualty I,5/15/20,4909,Jacob Stein INC
Direct Property and Casualty I,5/18/20,6792,Jacob Stein INC
Direct Property and Casualty I,5/19/20,7337,Jacob Stein INC
Direct Property and Casualty I,5/20/20,4076,Jacob Stein INC
Direct Property and Casualty I,5/21/20,3914,Jacob Stein INC
Direct Property and Casualty I,5/22/20,6338,Jacob Stein INC
Direct Property and Casualty I,5/26/20,7721,Jacob Stein INC
Direct Property and Casualty I,5/27/20,4797,Jacob Stein INC
Direct Property and Casualty I,5/28/20,4712,Jacob Stein INC
Direct Property and Casualty I,5/29/20,7508,Jacob Stein INC
Direct Property and Casualty I,6/1/20,7623,Jacob Stein INC
Direct Property and Casualty I,6/2/20,12229,Jacob Stein INC
Direct Property and Casualty I,6/3/20,5631,Jacob Stein INC
Direct Property and Casualty I,6/4/20,3975,Jacob Stein INC
Direct Property and Casualty I,6/5/20,4440,Jacob Stein INC
Direct Property and Casualty I,6/8/20,6220,Jacob Stein INC
Direct Property and Casualty I,6/9/20,11834,Jacob Stein INC
Direct Property and Casualty I,6/10/20,4985,Jacob Stein INC
Direct Property and Casualty I,6/11/20,5509,Jacob Stein INC
Direct Property and Casualty I,6/12/20,4917,Jacob Stein INC
Direct Property and Casualty I,6/15/20,5559,Jacob Stein INC
Direct Property and Casualty I,6/16/20,6717,Jacob Stein INC
Direct Property and Casualty I,6/17/20,5343,Jacob Stein INC
Direct Property and Casualty I,6/18/20,5095,Jacob Stein INC
Direct Property and Casualty I,6/19/20,5406,Jacob Stein INC
Direct Property and Casualty I,6/22/20,5083,Jacob Stein INC
Direct Property and Casualty I,6/23/20,7119,Jacob Stein INC
Direct Property and Casualty I,6/24/20,6116,Jacob Stein INC
Direct Property and Casualty I,6/25/20,5999,Jacob Stein INC
Direct Property and Casualty I,6/26/20,4999,Jacob Stein INC
Direct Property and Casualty I,6/29/20,5759,Jacob Stein INC
Direct Property and Casualty I,6/30/20,5402,Jacob Stein INC
Direct Property and Casualty I,7/1/20,8179,Jacob Stein INC
Direct Property and Casualty I,7/2/20,5929,Jacob Stein INC
Direct Property and Casualty I,7/6/20,7294,Jacob Stein INC
Direct Property and Casualty I,7/7/20,7237,Jacob Stein INC
Direct Property and Casualty I,7/8/20,9274,Jacob Stein INC
Direct Property and Casualty I,7/9/20,5585,Jacob Stein INC
Direct Property and Casualty I,7/10/20,9506,Jacob Stein INC
Direct Property and Casualty I,7/13/20,4309,Jacob Stein INC
Direct Property and Casualty I,7/14/20,5264,Jacob Stein INC
Direct Property and Casualty I,7/15/20,5195,Jacob Stein INC
Direct Property and Casualty I,7/16/20,4600,Jacob Stein INC
Direct Property and Casualty I,7/17/20,5534,Jacob Stein INC
Direct Property and Casualty I,7/20/20,4416,Jacob Stein INC
Direct Property and Casualty I,7/21/20,5672,Jacob Stein INC
Direct Property and Casualty I,7/22/20,5458,Jacob Stein INC
Direct Property and Casualty I,7/23/20,4122,Jacob Stein INC
Direct Property and Casualty I,7/24/20,6189,Jacob Stein INC
Direct Property and Casualty I,7/27/20,4753,Jacob Stein INC
Direct Property and Casualty I,7/28/20,6931,Jacob Stein INC
Direct Property and Casualty I,7/29/20,6240,Jacob Stein INC
Direct Property and Casualty I,7/30/20,5194,Jacob Stein INC
Direct Property and Casualty I,7/31/20,5630,Jacob Stein INC
Direct Property and Casualty I,8/3/20,552,Jacob Stein INC
Direct Property and Casualty I,8/4/20,10627,Jacob Stein INC
Direct Property and Casualty I,8/5/20,5641,Jacob Stein INC
Direct Property and Casualty I,8/6/20,4345,Jacob Stein INC
Direct Property and Casualty I,8/7/20,752,Jacob Stein INC
Direct Property and Casualty I,8/10/20,1076,Jacob Stein INC
Direct Property and Casualty I,8/11/20,955,Jacob Stein INC
Direct Property and Casualty I,8/12/20,5364,Jacob Stein INC
Direct Property and Casualty I,8/13/20,5404,Jacob Stein INC
Direct Property and Casualty I,8/14/20,5704,Jacob Stein INC
Direct Property and Casualty I,8/17/20,4164,Jacob Stein INC
Direct Property and Casualty I,8/18/20,5477,Jacob Stein INC
Direct Property and Casualty I,8/19/20,4824,Jacob Stein INC
Direct Property and Casualty I,8/20/20,4645,Jacob Stein INC
Direct Property and Casualty I,8/21/20,6271,Jacob Stein INC
Direct Property and Casualty I,8/24/20,6856,Jacob Stein INC
Direct Property and Casualty I,8/25/20,7525,Jacob Stein INC
Direct Property and Casualty I,8/26/20,4183,Jacob Stein INC
Direct Property and Casualty I,8/27/20,5951,Jacob Stein INC
Direct Property and Casualty I,8/28/20,4048,Jacob Stein INC
Direct Property and Casualty I,8/31/20,3358,Jacob Stein INC
Direct Property and Casualty I,9/1/20,7608,Jacob Stein INC
Direct Property and Casualty I,9/2/20,5055,Jacob Stein INC
Direct Property and Casualty I,9/3/20,5748,Jacob Stein INC
Direct Property and Casualty I,9/4/20,4001,Jacob Stein INC
Direct Property and Casualty I,9/8/20,9491,Jacob Stein INC
Direct Property and Casualty I,9/9/20,8420,Jacob Stein INC
Direct Property and Casualty I,9/10/20,4653,Jacob Stein INC
Direct Property and Casualty I,9/11/20,4501,Jacob Stein INC
Direct Property and Casualty I,9/14/20,5771,Jacob Stein INC
Direct Property and Casualty I,9/15/20,6408,Jacob Stein INC
Direct Property and Casualty I,9/16/20,4950,Jacob Stein INC
Direct Property and Casualty I,9/17/20,6019,Jacob Stein INC
Direct Property and Casualty I,9/18/20,4415,Jacob Stein INC
Direct Property and Casualty I,9/21/20,5658,Jacob Stein INC
Direct Property and Casualty I,9/22/20,7359,Jacob Stein INC
Direct Property and Casualty I,9/23/20,5677,Jacob Stein INC
Direct Property and Casualty I,9/24/20,4848,Jacob Stein INC
Direct Property and Casualty I,9/25/20,4648,Jacob Stein INC
Direct Property and Casualty I,9/28/20,7264,Jacob Stein INC
Direct Property and Casualty I,9/29/20,5440,Jacob Stein INC
Direct Property and Casualty I,9/30/20,9579,Jacob Stein INC
Direct Property and Casualty I,10/1/20,7596,Jacob Stein INC
Direct Property and Casualty I,10/2/20,4599,Jacob Stein INC
Direct Property and Casualty I,10/5/20,5789,Jacob Stein INC
Direct Property and Casualty I,10/6/20,6115,Jacob Stein INC
Direct Property and Casualty I,10/7/20,5839,Jacob Stein INC
Direct Property and Casualty I,10/8/20,8193,Jacob Stein INC
Direct Property and Casualty I,10/9/20,5072,Jacob Stein INC
Direct Property and Casualty I,10/12/20,4153,Jacob Stein INC
Direct Property and Casualty I,10/13/20,6803,Jacob Stein INC
Direct Property and Casualty I,10/14/20,9256,Jacob Stein INC
Direct Property and Casualty I,10/15/20,5318,Jacob Stein INC
Direct Property and Casualty I,10/16/20,5845,Jacob Stein INC
Direct Property and Casualty I,10/19/20,4244,Jacob Stein INC
Direct Property and Casualty I,10/20/20,5327,Jacob Stein INC
Direct Property and Casualty I,10/21/20,5047,Jacob Stein INC
Direct Property and Casualty I,10/22/20,5356,Jacob Stein INC
Direct Property and Casualty I,10/23/20,3078,Jacob Stein INC
Direct Property and Casualty I,10/26/20,1419,Jacob Stein INC
Direct Property and Casualty I,10/27/20,11829,Jacob Stein INC
Direct Property and Casualty I,10/28/20,5056,Jacob Stein INC
Direct Property and Casualty I,10/29/20,5753,Jacob Stein INC
Direct Property and Casualty I,10/30/20,6899,Jacob Stein INC
Direct Property and Casualty I,11/1/20,171,Jacob Stein INC
Direct Property and Casualty I,11/2/20,7862,Jacob Stein INC
Direct Property and Casualty I,11/3/20,7978,Jacob Stein INC
Direct Property and Casualty I,11/4/20,5581,Jacob Stein INC
Direct Property and Casualty I,11/5/20,5870,Jacob Stein INC
Direct Property and Casualty I,11/6/20,5498,Jacob Stein INC
Direct Property and Casualty I,11/9/20,7070,Jacob Stein INC
Direct Property and Casualty I,11/10/20,5143,Jacob Stein INC
Direct Property and Casualty I,11/11/20,1769,Jacob Stein INC
Direct Property and Casualty I,11/12/20,12866,Jacob Stein INC
Direct Property and Casualty I,11/13/20,5081,Jacob Stein INC
Direct Property and Casualty I,11/16/20,4580,Jacob Stein INC
Direct Property and Casualty I,11/17/20,6521,Jacob Stein INC
Direct Property and Casualty I,11/18/20,5254,Jacob Stein INC
Direct Property and Casualty I,11/19/20,4751,Jacob Stein INC
Direct Property and Casualty I,11/20/20,20600,Jacob Stein INC
Direct Property and Casualty I,11/23/20,4671,Jacob Stein INC
Direct Property and Casualty I,11/24/20,8385,Jacob Stein INC
Direct Property and Casualty I,11/25/20,5391,Jacob Stein INC
Direct Property and Casualty I,11/30/20,6795,Jacob Stein INC
Direct Property and Casualty I,12/1/20,7382,Jacob Stein INC
Direct Property and Casualty I,12/2/20,4963,Jacob Stein INC
Direct Property and Casualty I,12/3/20,5201,Jacob Stein INC
Direct Property and Casualty I,12/4/20,4133,Jacob Stein INC
Direct Property and Casualty I,12/7/20,4007,Jacob Stein INC
Direct Property and Casualty I,12/8/20,8285,Jacob Stein INC
Direct Property and Casualty I,12/9/20,4887,Jacob Stein INC
Direct Property and Casualty I,12/10/20,8759,Jacob Stein INC
Direct Property and Casualty I,12/11/20,4572,Jacob Stein INC
Direct Property and Casualty I,12/14/20,6365,Jacob Stein INC
Direct Property and Casualty I,12/15/20,7059,Jacob Stein INC
Direct Property and Casualty I,12/16/20,4948,Jacob Stein INC
Direct Property and Casualty I,12/17/20,5692,Jacob Stein INC
Direct Property and Casualty I,12/18/20,5736,Jacob Stein INC
Direct Property and Casualty I,12/21/20,5737,Jacob Stein INC
Direct Property and Casualty I,12/22/20,9582,Jacob Stein INC
Direct Property and Casualty I,12/23/20,6592,Jacob Stein INC
Direct Property and Casualty I,12/28/20,9103,Jacob Stein INC
Direct Property and Casualty I,12/29/20,5772,Jacob Stein INC
Direct Property and Casualty I,12/30/20,9228,Jacob Stein INC
Direct Property and Casualty I,12/31/20,3762,Jacob Stein INC
Direct Property and Casualty I,1/4/21,9739,Jacob Stein INC
Direct Property and Casualty I,1/5/21,7574,Jacob Stein INC
Direct Property and Casualty I,1/6/21,6259,Jacob Stein INC
Direct Property and Casualty I,1/7/21,9199,Jacob Stein INC
Direct Property and Casualty I,1/8/21,8033,Jacob Stein INC
Direct Property and Casualty I,1/11/21,6049,Jacob Stein INC
Direct Property and Casualty I,1/12/21,6323,Jacob Stein INC
Direct Property and Casualty I,1/13/21,9307,Jacob Stein INC
Direct Property and Casualty I,1/14/21,6477,Jacob Stein INC
Direct Property and Casualty I,1/15/21,4021,Jacob Stein INC
Direct Property and Casualty I,1/19/21,5433,Jacob Stein INC
Direct Property and Casualty I,1/20/21,4976,Jacob Stein INC
Direct Property and Casualty I,1/21/21,6330,Jacob Stein INC
Direct Property and Casualty I,1/22/21,6192,Jacob Stein INC
Direct Property and Casualty I,1/25/21,6680,Jacob Stein INC
Direct Property and Casualty I,1/26/21,8213,Jacob Stein INC
Direct Property and Casualty I,1/27/21,4771,Jacob Stein INC
Direct Property and Casualty I,1/28/21,8754,Jacob Stein INC
Direct Property and Casualty I,1/29/21,7120,Jacob Stein INC
Direct Property and Casualty I,2/1/21,10343,Jacob Stein INC
Direct Property and Casualty I,2/2/21,9812,Jacob Stein INC
Direct Property and Casualty I,2/3/21,5336,Jacob Stein INC
Direct Property and Casualty I,2/4/21,5181,Jacob Stein INC
Direct Property and Casualty I,2/5/21,4506,Jacob Stein INC
Direct Property and Casualty I,2/8/21,6432,Jacob Stein INC
Direct Property and Casualty I,2/9/21,6811,Jacob Stein INC
Direct Property and Casualty I,2/10/21,9464,Jacob Stein INC
Direct Property and Casualty I,2/11/21,3847,Jacob Stein INC
Direct Property and Casualty I,2/12/21,4178,Jacob Stein INC
Direct Property and Casualty I,2/16/21,5637,Jacob Stein INC
Direct Property and Casualty I,2/17/21,5053,Jacob Stein INC
Direct Property and Casualty I,2/18/21,9702,Jacob Stein INC
Direct Property and Casualty I,2/19/21,3891,Jacob Stein INC
Direct Property and Casualty I,2/22/21,3960,Jacob Stein INC
Direct Property and Casualty I,2/23/21,7653,Jacob Stein INC
Direct Property and Casualty I,2/24/21,4318,Jacob Stein INC
Direct Property and Casualty I,2/25/21,3972,Jacob Stein INC
Direct Property and Casualty I,2/26/21,4721,Jacob Stein INC
Direct Property and Casualty I,3/1/21,7950,Jacob Stein INC
Direct Property and Casualty I,3/2/21,3952,Jacob Stein INC
Direct Property and Casualty I,3/3/21,5648,Jacob Stein INC
Direct Property and Casualty I,3/4/21,3377,Jacob Stein INC
Direct Property and Casualty I,3/5/21,4453,Jacob Stein INC
Direct Property and Casualty I,3/8/21,4972,Jacob Stein INC
Direct Property and Casualty I,3/9/21,6958,Jacob Stein INC
Direct Property and Casualty I,3/10/21,4378,Jacob Stein INC
Direct Property and Casualty I,3/11/21,7837,Jacob Stein INC
Direct Property and Casualty I,3/12/21,4232,Jacob Stein INC
Direct Property and Casualty I,3/15/21,27072,Jacob Stein INC
Direct Property and Casualty I,3/16/21,17033,Jacob Stein INC
Direct Property and Casualty I,3/17/21,4651,Jacob Stein INC
Direct Property and Casualty I,3/18/21,4334,Jacob Stein INC
Direct Property and Casualty I,3/19/21,4603,Jacob Stein INC
Direct Property and Casualty I,3/22/21,3568,Jacob Stein INC
Direct Property and Casualty I,3/23/21,5443,Jacob Stein INC
Direct Property and Casualty I,3/24/21,5144,Jacob Stein INC
Direct Property and Casualty I,3/25/21,4595,Jacob Stein INC
Direct Property and Casualty I,3/26/21,4016,Jacob Stein INC
Direct Property and Casualty I,3/29/21,5528,Jacob Stein INC
Direct Property and Casualty I,3/30/21,4501,Jacob Stein INC
Direct Property and Casualty I,3/31/21,2544,Jacob Stein INC
Direct Property and Casualty I,4/1/21,5922,Jacob Stein INC
Direct Property and Casualty I,4/2/21,3876,Jacob Stein INC
Direct Property and Casualty I,4/5/21,4475,Jacob Stein INC
Direct Property and Casualty I,4/6/21,4595,Jacob Stein INC
Direct Property and Casualty I,4/7/21,6027,Jacob Stein INC
Direct Property and Casualty I,4/8/21,7951,Jacob Stein INC
